,OPEN,HIGH,LOW,CLOSE,RSI
2014-09-19 00:00:00.005,2312.984,2331.561,2305.517,2329.451,0.0
2014-09-22 00:00:00.005,2323.554,2323.554,2284.378,2289.866,0.0
2014-09-23 00:00:00.005,2289.091,2311.525,2289.024,2309.718,0.0
2014-09-24 00:00:00.005,2302.231,2345.747,2297.876,2343.575,0.0
2014-09-25 00:00:00.005,2352.865,2365.154,2336.805,2345.103,0.0
2014-09-26 00:00:00.005,2339.288,2350.109,2329.955,2347.718,0.0
2014-09-29 00:00:00.005,2353.708,2363.059,2346.579,2357.711,0.0
2014-09-30 00:00:00.005,2361.318,2365.491,2354.268,2363.87,0.0
2014-10-08 00:00:00.005,2368.576,2382.794,2354.29,2382.794,0.0
2014-10-09 00:00:00.005,2383.859,2391.348,2367.111,2389.371,0.0
2014-10-10 00:00:00.005,2380.755,2386.277,2365.075,2374.54,0.0
2014-10-13 00:00:00.005,2366.426,2366.862,2341.124,2366.009,0.0
2014-10-14 00:00:00.005,2362.802,2380.515,2349.194,2359.475,0.0
2014-10-15 00:00:00.005,2358.233,2374.808,2344.373,2373.67,0.0
2014-10-16 00:00:00.005,2361.13,2389.675,2353.406,2356.499,0.0
2014-10-17 00:00:00.005,2352.784,2360.597,2312.826,2341.184,0.0
2014-10-20 00:00:00.005,2346.052,2357.509,2340.459,2356.728,0.0
2014-10-21 00:00:00.005,2355.033,2361.653,2337.551,2339.657,0.0
2014-10-22 00:00:00.005,2339.223,2352.124,2324.59,2326.553,0.0
2014-10-23 00:00:00.005,2322.316,2329.927,2297.33,2302.418,0.0
2014-10-24 00:00:00.005,2303.08,2314.875,2296.657,2302.28,0.0
2014-10-27 00:00:00.005,2293.573,2293.644,2279.836,2290.437,0.0
2014-10-28 00:00:00.005,2294.012,2338.278,2294.012,2337.871,0.0
2014-10-29 00:00:00.005,2343.72,2381.643,2339.712,2373.03,0.0
2014-10-30 00:00:00.005,2371.891,2397.256,2365.919,2391.076,0.0
2014-10-31 00:00:00.005,2393.178,2423.596,2384.483,2420.178,0.0
2014-11-03 00:00:00.005,2425.225,2436.785,2418.167,2430.032,0.0
2014-11-04 00:00:00.005,2428.271,2435.223,2417.221,2430.677,0.0
2014-11-05 00:00:00.005,2432.169,2434.363,2415.502,2419.254,0.0
2014-11-06 00:00:00.005,2419.617,2426.89,2401.75,2425.864,0.0
2014-11-07 00:00:00.005,2427.898,2454.423,2407.442,2418.171,0.0
2014-11-10 00:00:00.005,2436.628,2474.156,2428.185,2473.673,0.0
